id,keyword,location,text,target,preprocessed_text,predicted_label
16,no_keyword,no_location,Three people died from the heat wave so far,1,three people died heat wave far,5
144,accident,UK,.@NorwayMFA #Bahrain police had previously died in a road accident they were not killed by explosion https://t.co/gFJfgTodad,1, bahrain police previously died road accident killed explosion,5
203,airplane accident,"Spain but Opa-Locka, FL",family members of osama bin laden have died in an airplane accident how ironic ?????? mhmmm gov shit i suspect,1,family member osama bin laden died airplane accident ironic mhmmm gov shit suspect,5
205,airplane accident,Hyderabad Telangana INDIA,Horrible Accident  Man Died In Wings of Airplane (29-07-2015) http://t.co/i7kZtevb2v,1,horrible accident man died wing airplane ,5
208,airplane accident,"Eagle Pass, Texas",A Cessna airplane accident in Ocampo Coahuila Mexico on July 29 2015 killed four men including a State of Coahuila government official.,1,cessna airplane accident ocampo coahuila mexico july killed four men including state coahuila government official,5
209,airplane accident,bangalore,#Horrible #Accident Man Died In Wings Airplane (29-07-2015) #WatchTheVideo http://t.co/p64xRVgJIk,1,horrible accident man died wing airplane watchthevideo,5
212,airplane accident,Indonesia,#KCA #VoteJKT48ID mbataweel: #RIP #BINLADEN Family members who killed in an airplane's accident,1,kca mbataweel rip binladen family member killed airplanes accident,5
219,airplane accident,Mumbai india,Horrible Accident |  Man Died In Wings of AirplaneåÊ(29-07-2015) http://t.co/wq3wJsgPHL,1,horrible accident man died wing airplane  ,5
220,airplane accident,sri lanka,Horrible Accident Man Died In Wings of Airplane (29-07-2015) http://t.co/TfcdRONRA6,1,horrible accident man died wing airplane ,5
221,airplane accident,Not a U.S resident,Usama bin Ladins family dead in airplane crash. Naturally no accident.,1,usama bin ladin family dead airplane crash naturally accident,5
222,airplane accident,no_location,Pilot Dies In Plane Crash At Car Festival https://t.co/kQ9aE6AP2B via @YouTube #Crash #Aircraft #Airplane #Pilot #Death #Accident #CarFest,1,pilot dy plane crash car festival via crash aircraft airplane pilot death accident carfest,5
