id,keyword,location,text,target,preprocessed_text,predicted_label
10,no_keyword,no_location,"#flood #disaster Heavy rain causes flash flooding of streets in Manitou, Colorado Springs areas",1,flood disaster heavy rain cause flash flooding street manitou colorado spring area,6
15,no_keyword,no_location,I'm afraid that the tornado is coming to our area...,1,im afraid tornado coming area,6
104,accident,"Walker County, Alabama",Reported motor vehicle accident in Curry on Herman Rd near Stephenson involving an overturned vehicle. Please use... http://t.co/YbJezKuRW1,1,reported motor vehicle accident curry herman rd near stephenson involving overturned vehicle please use,6
107,accident,North Carolina,I-77 Mile Marker 31 South Mooresville  Iredell Vehicle Accident Ramp Closed at 8/6 1:18 PM,1,i mile marker south mooresville iredell vehicle accident ramp closed  pm,6
471,armageddon,"Florida, USA","Vladimir Putin Issues Major Warning But Is It Too Late To Escape Armageddon?
http://t.co/gBxafy1m1C",1,vladimir putin issue major warning late escape armageddon,6
490,armageddon,no_location,Paul Craig Roberts ÛÒ Vladimir Putin Issues Major Warning But Is It Too Late To Escape A http://t.co/NVfKzv5FEx #brics #roberts #russia,1,paul craig robert    vladimir putin issue major warning late escape brics roberts russia,6
2211,chemical emergency,"Virginia, United States",#Illinois: Emergency units simulate a chemical explosion at NU https://t.co/rd10EX6HvT via @sharethis #hazmat,1,illinois emergency unit simulate chemical explosion nu via hazmat,6
2212,chemical emergency,Center for Domestic Preparedness,At FEMA's Center for Disaster Preparedness for a weeklong training on Chemical Biological Radioactive Nuclear   Emergency Response,1,femas center disaster preparedness weeklong training chemical biological radioactive nuclear emergency response,6
2221,chemical emergency,"Beaumont, TX",Emergency crews respond to chemical spill downtown beaumont #benews http://t.co/PME0HOJVYA,1,emergency crew respond chemical spill downtown beaumont benews,6
2225,chemical emergency,"Las Vegas, Nevada",Bomb Crash Loot Riot Emergency Pipe Bomb Nuclear Chemical Spill Gas Ricin Leak Violence Drugs Cartel Cocaine Marijuana Heroine Kidnap Bust,1,bomb crash loot riot emergency pipe bomb nuclear chemical spill gas ricin leak violence drug cartel cocaine marijuana heroine kidnap bust,6
2239,chemical emergency,"Ames, Iowa",Our Chemical Spill Cleanup videos will prepare you for an emergency situation in the lab. http://t.co/UMQbyRUPBd,1,chemical spill cleanup video prepare emergency situation lab,6
2242,chemical emergency,no_location,Emergency units simulate a chemical explosion at NU - Evanston Now http://t.co/kfyEbhb3DI,1,emergency unit simulate chemical explosion nu evanston,6
2248,chemical emergency,no_location,Emergency 4 Harbor City Mod v4.5.2 #6 Chemical Fire in Residential Area!: http://t.co/uLuPxYzJwV via @YouTube,1,emergency harbor city mod  chemical fire residential area via,6
2250,chemical emergency,"Mankato, MN",Emergency responders prepare for chemical disaster through Hazmat training. http://t.co/q9zixCi8E6,1,emergency responder prepare chemical disaster hazmat training,6
2508,collision,no_location,Beat:B2 MOTOR VEHICLE COLLISION at N 35 ST / FREMONT AV N reported on 8/5/2015 6:52 PM Call# 15000270364,1,beat motor vehicle collision n st fremont av n reported  pm call,6
2571,crash,"Melbourne, Australia","#INCIDENT
Crash in Pascoe Vale South outbound on Tullamarine Fwy (CityLink) near Moreland Rd. Vehicles off in emergency lane. No delays.",1,incident crash pascoe vale south outbound tullamarine fwy citylink near moreland rd vehicle emergency lane delays,6
2821,cyclone,Philippines ,"SEVERE WEATHER BULLETIN No. 5
FOR: TYPHOON ÛÏ#HannaPHÛ (SOUDELOR)
TROPICAL CYCLONE: WARNING

ISSUED AT 5:00 PM 06... http://t.co/qHwE5K7xUW",1,severe weather bulletin no for typhoon   hannaph  soudelor tropical cyclone warning issued pm ,6
2827,cyclone,"Quezon City, Philippines","SEVERE WEATHER BULLETIN #6
TROPICAL CYCLONE WARNING: TYPHOON 'HANNA' 
Issued at 11:00 p.m. Thursday 06 August... http://t.co/FQV47OB8gE",1,severe weather bulletin tropical cyclone warning typhoon hanna issued pm thursday august,6
2911,danger,"San Jose, California",Red Flag Warning for fire danger &amp; dry thunderstorms in Bay Area http://t.co/ugzu9iqPRW #weather #cawx by @NWSBayArea,1,red flag warning fire danger amp dry thunderstorm bay area weather cawx,6
2929,danger,Atlanta Georgia ,"@bluebirddenver #FETTILOOTCH IS #SLANGLUCCI OPPRESSIONS GREATEST DANGER COMING SOON THE ALBUM 
https://t.co/moLL5vd8yD",1,fettilootch slanglucci oppression greatest danger coming soon album,6
2943,danger,"San Jose, CA",Thunderstorms with little rain expected in Central California. High fire danger. #weather #cawx http://t.co/A5GNzbuSqq,1,thunderstorm little rain expected central california high fire danger weather cawx,6
3530,derailment,New Delhi,Suresh Prabhu calls Harda derailment a natural calamity; officials feel warning signs ignored: Prabhu may regr... http://t.co/Q5MlbODVm4,1,suresh prabhu call harda derailment natural calamity official feel warning sign ignored prabhu may regr,6
4025,disaster,Naperville,Illinois Tornado Slipped Under The Radar Emergency Officials Say http://t.co/zhGu8yE1bj,1,illinois tornado slipped radar emergency official say,6
4304,dust storm,"Lubbock, TX",Severe storm weakening as it moves SE towards Lubbock area.  Outflow boundary may create dust and 50 mph gusts http://t.co/pw3tZU0tay,1,severe storm weakening move se towards lubbock area outflow boundary may create dust mph gust,6
4328,dust storm,"Pocatello, ID",Storm headed towards Idaho Falls with blowing dust &amp; winds to 60 mph.  US HWY 20 &amp; I15 look out.  #idwx http://t.co/0cR74m1Uxm,1,storm headed towards idaho fall blowing dust amp wind mph u hwy amp look out idwx,6
4343,dust storm,no_location,Severe storm weakening as it moves SE towards Lubbock area.  Outflow boundary may create dust and 50 mph gusts http://t.co/kA1HBjlqVw,1,severe storm weakening move se towards lubbock area outflow boundary may create dust mph gust,6
4357,earthquake,Desde Republica Argentina,#Sismo ML 2.4  NEAR THE COAST OF WESTERN TURKEY: MagnitudeåÊåÊML 2.4RegionåÊåÊNEAR THE COAST OF WESTERN TURKEY... http://t.co/0wdAzLcM90 #CS,1,sismo ml near coast western turkey magnitude    ml coast western turkey cs,6
4514,emergency,denmark,AlaskaÛªs Prince of Wales #ArchipelagoWolves are nearing #Extinction. Demand emergency protection! #StandForWolves  http://t.co/hBWoivJqkD,1,alaska  s prince wale archipelagowolves nearing extinction demand emergency protection standforwolves,6
4517,emergency,Kuwait,Plane from New York to Kuwait diverts to UK after declaring state of emergency http://t.co/5AIeXCBKFq,1,plane new york kuwait diverts uk declaring state emergency,6
4522,emergency,"Indianapolis, IN",UPDATE: Indiana State Police reopening I-65 near Lafayette following emergency bridge repairs that closed key highway for about 28 hours.,1,update indiana state police reopening i near lafayette following emergency bridge repair closed key highway hours,6
4533,emergency,Sacae Plains,in BOTH 'peacetime and times of national emergency.',1,peacetime time national emergency,6
4547,emergency,no_location,#EMERGENCY in Odai Bucharest Romania 600 Dogs Dying!They are so Hungry that they EAT EACH OTHER! http://t.co/pjigXPVPl0,1,emergency odai bucharest romania dog dyingthey hungry eat other,6
4551,emergency plan,Ireland,Our builder is having a dental emergency. Which has ruined my plan to emotionally blackmail him this afternoon with my bump.,1,builder dental emergency ruined plan emotionally blackmail afternoon bump,6
4553,emergency plan,"Calgary, AB","This from The City of Calgary - 

City of Calgary has activated Municipal Emergency Plan

The Municipal Emergency... http://t.co/hA5BoppeJy",1,city calgary city calgary activated municipal emergency plan municipal emergency,6
4562,emergency plan,"Calgary, Alberta, Canada",.@CityofCalgary activates emergency plan amid severe thunderstorm warning http://t.co/pc7S8NxJ6Q #yyc #abstorm http://t.co/9xoHmMlMDY,1, activates emergency plan amid severe thunderstorm warning yyc abstorm,6
