id,keyword,location,text,target,preprocessed_text,predicted_label
118,accident,Your Sister's Bedroom,I was in a horrible car accident this past Sunday. I'm finally able to get around. Thank you GOD??,1,horrible car accident past sunday im finally able get around thank god,8
328,annihilated,no_location,Ready to get annihilated for the BUCS game,1,ready get annihilated bucs game,8
397,apocalypse,sindria,ohH NO FUKURODANI DIDN'T SURVIVE THE APOCALYPSE BOKUTO FEELS HORRIBLE  my poor boy my ppor child,1,ohh fukurodani survive apocalypse bokuto feel horrible poor boy ppor child,8
838,bioterror,USA,#News FedEx no longer to transport bioterror germs in wake of anthrax lab mishaps (say what?): åÊFedEx no... http://t.co/K0Y7xFxmXA #TCOT,1,news fedex longer transport bioterror germ wake anthrax lab mishap say what   fedex no tcot,8
894,bioterrorism,New York City,@DrRichardBesser Yes. I would think not. But since college 88-92 it's been difficult not to think of bioterrorism esp. bc 'dispersed.',1,yes would think not since college difficult think bioterrorism esp bc dispersed,8
1040,bleeding,IN,you can stab me in the back but I promise you'll be the one bleeding,1,stab back promise one bleeding,8
1085,blew up,no_location,@BenKin97 @Mili_5499 remember when u were up like 4-0 and blew it in one game? U probs don't because it was before the kings won the cup,1,remember u like blew one game u probs king cup,8
1174,blight,UK,The #Palestinian #refugee tragedy is a blight on humanity &amp; should shame every #Israeli for living with it. https://t.co/gAAE0nO5du,1,palestinian refugee tragedy blight humanity amp shame every israeli living it,8
1259,blood,The World,Ain't no hoe in my blood,1,aint hoe blood,8
1277,blood,Indonesia,it wasnt a very big stab but it was a deep stab and theres like blood everwhe,1,wasnt big stab deep stab there like blood everwhe,8
1294,bloody,Nashua NH,@TradCatKnight (1) Russia may have played into reason but that link is BS.  Okanowa was bloody and mainline invasion looked like a bloody,1, russia may played reason link bs okanowa bloody mainline invasion looked like bloody,8
1458,body bagging,316,'I did another one I did another one. You still ain't done shit about the other one.' Nigga body bagging Meek.,1,i another one another one still aint done shit one nigga body bagging meek,8
1569,bomb,no_location,What would it look like if Hiroshima bomb hit Detroit?: Thursday marks the 70-year anniversary of the United S... http://t.co/6sy44kyYsD,1,would look like hiroshima bomb hit detroit thursday mark year anniversary united s,8
1632,bombing,Shipwreck Cove,It's been 70 years (and one hour) since the bombing of Hiroshima. Let's take this time to remember.,1,year and one hour since bombing hiroshima lets take time remember,8
1741,buildings burning,GO BLUE! HAIL YES!!,@1acd4900c1424d1 @FoxNews no one is rioting burning down buildings or looting.,1,one rioting burning building looting,8
1753,buildings burning,somewhere over a rainbow,@DoctorFluxx @StefanEJones @spinnellii @themermacorn  No burning buildings and rob during a riot. That's embarrassing &amp; ruining this nation.,1,burning building rob riot thats embarrassing amp ruining nation,8
1755,buildings burning,no_location,Bradford. Back to doing what we do best. Burning down our own buildings. Read it and weep Leeds. https://t.co/OLnfzb86zb,1,bradford back best burning buildings read weep leeds,8
1915,burning,http://www.amazon.com/dp/B00HR,'CALIFORNIA IS BURNING:' Gov. Jerry Brown told reporters at a press conference that California is experiencing... http://t.co/arzeMSR7FQ,1,california burning gov jerry brown told reporter press conference california experiencing,8
