id,keyword,location,text,target,preprocessed_text,predicted_label
13,no_keyword,no_location,I'm on top of the hill and I can see a fire in the woods...,1,im top hill see fire woods,1
55,ablaze,World Wide!!,INEC Office in Abia Set Ablaze - http://t.co/3ImaomknnA,1,inec office abia set ablaze ,1
56,ablaze,no_location,Barbados #Bridgetown JAMAICA ÛÒ Two cars set ablaze: SANTA CRUZ ÛÓ Head of the St Elizabeth Police Superintende...  http://t.co/wDUEaj8Q4J,1,barbados bridgetown jamaica    two car set ablaze santa cruz    head st elizabeth police superintende,1
79,ablaze,USA,#Kurds trampling on Turkmen flag later set it ablaze while others vandalized offices of Turkmen Front in #Diyala http://t.co/4IzFdYC3cg,1,kurds trampling turkmen flag later set ablaze others vandalized office turkmen front diyala,1
120,accident,"Arlington, TX",#TruckCrash Overturns On #FortWorth Interstate http://t.co/Rs22LJ4qFp Click here if you've been in a crash&gt;http://t.co/Ld0unIYw4k,1,truckcrash overturn fortworth interstate click crashgt,1
143,accident,no_location,only had a car for not even a week and got in a fucking car accident .. Mfs can't fucking drive .,1,car even week got fucking car accident mf cant fucking drive ,1
247,ambulance,Jackson,http://t.co/AY6zzcUpnz Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/sC9dNS41Mc,1,twelve feared killed pakistani air ambulance helicopter crash,1
262,ambulance,Amsterdam,http://t.co/7xGLah10zL Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/THmblAATzP,1,twelve feared killed pakistani air ambulance helicopter crash,1
266,ambulance,no_location,Pakistan air ambulance helicopter crash kills nine http://t.co/8E7rY8eBMf,1,pakistan air ambulance helicopter crash kill nine,1
269,ambulance,no_location,http://t.co/FCqmKFfflW Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/vAyaYmbNgu,1,twelve feared killed pakistani air ambulance helicopter crash,1
277,ambulance,L. A.,http://t.co/pWwpUm6RBj Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/ySpON4d6Qo,1,twelve feared killed pakistani air ambulance helicopter crash,1
283,ambulance,Lexington,http://t.co/FueRk0gWui Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/Mv7GgGlmVc,1,twelve feared killed pakistani air ambulance helicopter crash,1
285,ambulance,no_location,http://t.co/X5YEUYLT1X Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/2UgrMd1z1n,1,twelve feared killed pakistani air ambulance helicopter crash,1
293,ambulance,Playa,http://t.co/J8TYT1XRRK Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/9d4nAzOI94,1,twelve feared killed pakistani air ambulance helicopter crash,1
340,annihilated,Swaning Around,"ANNIHILATED IN DAMASCUS: SYRIAN ARMY GRINDS Û÷ALLOOSH AND HIS GANG INTO THE MANURE PILE
http://t.co/7rakhP3bWm",1,annihilated damascus syrian army grind  alloosh gang manure pile,1
404,apocalypse,"Elk Grove, CA, USA",Another hour! It's August 05 2015 at 08:02PM Here's Red Rover Zombie Apocalypse 2014! http://t.co/cf9e6TU3g7 #internetradio #collegeradiÛ_,1,another hour august heres red rover zombie apocalypse internetradio collegeradi _,1
509,army,"Memphis, TN",Salvation Army hosts rally to reconnect fathers with children: The Salvation Army is hosting a back to school rallyÛ_ http://t.co/rDjpor3AZg,1,salvation army host rally reconnect father children salvation army hosting back school rally _,1
538,army,"Burbank,CA",@AP what a violent country get the army involved to help control the killings and bring back peace to the poor people.,1,violent country get army involved help control killing bring back peace poor people,1
661,attack,India,Militants attack police post in Udhampur; 2 SPOs injured | LiveMint http://t.co/Rptouz2iJs | http://t.co/69mLhfefhr #AllTheNews,1,militant attack police post udhampur spos injured livemint allthenews,1
662,attack,Seattle WA,BREAKING: Obama Officials GAVE Muslim Terrorist the Weapon Used in Texas Attack http://t.co/qi8QDw5dFG,1,breaking obama official gave muslim terrorist weapon used texas attack,1
664,attack,no_location,Delhi Government to Provide Free Treatment to Acid Attack Victims in Private Hospitals http://t.co/H6PM1W7elL,1,delhi government provide free treatment acid attack victim private hospital,1
681,attack,Mumbai,India shud not give any evidence 2 pak.They will share with terrorists &amp; use for next attack.Share with oth contries https://t.co/qioPbTIUVu,1,india shud give evidence pakthey share terrorist amp use next attackshare oth contries,1
699,attacked,City Of Joy,Cop injured in gunfight as militants attack Udhampur police post: Suspected militants attacked a police post i... http://t.co/2h0dPMv2Ef,1,cop injured gunfight militant attack udhampur police post suspected militant attacked police post i,1
739,attacked,??????????????????,TV program I saw said US air plane flew to uranium mine in Fukushima and attacked by machine gun when student army were digging it.,1,tv program saw said u air plane flew uranium mine fukushima attacked machine gun student army digging it,1
801,battle,Jerusalem!,Indeed!! I am fully aware of that battle! I support you in that fight!!  https://t.co/MctJnZX4H8,1,indeed fully aware battle support fight,1
895,bioterrorism,"Hudson Valley, NY",Volunteers needed to participate in Emergency Preparedness drill simulating a bioterrorism disaster: http://t.co/NWV2RvGHf3 @HVnewsnetwork,1,volunteer needed participate emergency preparedness drill simulating bioterrorism disaster,1
905,bioterrorism,no_location,@StationCDRKelly Any Support Sys 4 @USAgov AUTH taken Hostage by BLK US clergyforced 2 exist younger&amp;grossly disfigured by BIOTERRORISM?@AP,1,support sys auth taken hostage blk u clergyforced exist youngerampgrossly disfigured bioterrorism,1
1239,blood,"Cairo, Egypt",people with a #tattoo out there.. Are u allowed to donate blood and receive blood as well or not?,1,people tattoo there u allowed donate blood receive blood well not,1
1245,blood,no_location,Can't believe more people in their mid 20's don't have high blood pressure. Life is stressful. #DecisionsOnDecisions,1,cant believe people mid s high blood pressure life stressful decisionsondecisions,1
1346,blown up,The Grey Area,On #ThisDayInHistory in 1862 Confederate ship blown up by crew. Read More http://t.co/IW7ELSzIfZ via @History,1,thisdayinhistory confederate ship blown crew read via,1
