id,keyword,location,text,target,preprocessed_text,predicted_label
20,no_keyword,no_location,Damage to school bus on 80 in multi car crash #BREAKING ,1,damage school bus multi car crash breaking,3
128,accident,"New Hanover County, NC",FYI CAD:FYI: ;ACCIDENT PROPERTY DAMAGE;NHS;999 PINER RD/HORNDALE DR,1,fyi cadfyi accident property damagenhs piner rdhorndale dr,3
131,accident,"Wilmington, NC",;ACCIDENT PROPERTY DAMAGE; PINER RD/HORNDALE DR,1,accident property damage piner rdhorndale dr,3
133,accident,"New Hanover County, NC",FYI CAD:FYI: ;ACCIDENT PROPERTY DAMAGE;WPD;1600 S 17TH ST,1,fyi cadfyi accident property damagewpd st,3
346,annihilation,"California, USA",@rvfriedmann Hell is just a fraction of his belief of total annihilation destruction of USA @LodiSilverado @ritzy_jewels,1,hell fraction belief total annihilation destruction usa,3
589,arson,no_location,Tennessee lesbian couple faked hate crime and destroyed own home with arsonÛ_ http://t.co/10mUEY8PXJ #Lesbian,1,tennessee lesbian couple faked hate crime destroyed home arson _ lesbian,3
667,attack,"West Bank, Gaza Strip",Israeli forces raid home of alleged car attack suspect http://t.co/3GVUS8NPpy #palestine,1,israeli force raid home alleged car attack suspect palestine,3
805,battle,USA,Black Eye 9: A space battle occurred at Star M27329 involving 1 fleets totaling 1236 ships with 7 destroyed,1,black eye space battle occurred star involving fleet totaling ship destroyed,3
1626,bombed,"Warwick, RI @Dollarocracy also",Storm in RI worse than last hurricane. My city&amp;3others hardest hit. My yard looks like it was bombed. Around 20000K still without power,1,storm ri worse last hurricane cityamp hardest hit yard look like bombed around still without power,3
1672,bridge collapse,Mumbai,@ameenshaikh3 by ur. logic if bridge didnt collapse then second train engine should cross bridge then  @sanjaynirupam @sureshprabhu,1,ur logic bridge didnt collapse second train engine cross bridge,3
1687,bridge collapse,no_location,Two giant cranes holding a bridge collapse into nearby homes http://t.co/OQpsvrGbJc,1,two giant crane holding bridge collapse nearby home,3
1690,bridge collapse,no_location,Two giant cranes holding a bridge collapse into nearby homes http://t.co/UmANaaHwMI,1,two giant crane holding bridge collapse nearby home,3
1693,bridge collapse,Boston,Two giant cranes holding a bridge collapse into nearby homes http://t.co/5t69Ev0xTi via http://t.co/Nyp8OQ2Z9T,1,two giant crane holding bridge collapse nearby home via,3
1694,bridge collapse,MUM-DEL,#TrainTragedy - Happened in MP due to collapse of bridge now I m afraid to take a long distance train. http://t.co/JthusynJaH,1,traintragedy happened mp due collapse bridge afraid take long distance train,3
1699,bridge collapse,US,Two giant cranes holding a bridge collapse into nearby homes http://t.co/jBJRg3eP1Q,1,two giant crane holding bridge collapse nearby home,3
1700,bridge collapse,no_location,Two giant cranes holding a bridge collapse into nearby homes http://t.co/gSKJqWyI2d,1,two giant crane holding bridge collapse nearby home,3
1701,bridge collapse,California,#computers #gadgets Two giant cranes holding a bridge collapse into nearby homes http://t.co/UZIWgZRynY #slingnews,1,computers gadgets two giant crane holding bridge collapse nearby home slingnews,3
1705,bridge collapse,"Playa del Carmen, Mexico",Two giant cranes holding a bridge collapse into nearby homes http://t.co/lSQe7nu6kl,1,two giant crane holding bridge collapse nearby home,3
1706,bridge collapse,no_location,Two giant cranes holding a bridge collapse into nearby homes http://t.co/q5q1x5Vcqk,1,two giant crane holding bridge collapse nearby home,3
1712,bridge collapse,no_location,Two cranes restoring a bridge in the central Dutch town of Alphen aan den Rijn collapse on to buildings with rescuers searching for,1,two crane restoring bridge central dutch town alphen aan den rijn collapse building rescuer searching,3
1716,bridge collapse,no_location,Two giant cranes holding a bridge collapse into nearby homes http://t.co/9asc1hhFNJ,1,two giant crane holding bridge collapse nearby home,3
